"comid","variable","n_years","value_mean","ols_slope","ols_pvalue","mk_tau","mk_pvalue","sen_slope","sen_slope_rel","trend_direction"
620839684,"population",9,194.653967963325,2.90706975301108,3.87727912302205e-10,1,0.000263260802703515,14.227170308431,7.3089546836834,"aumento"
620839748,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620839748,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620839749,"pop_density",9,7.35466069785186,0.235744779345222,3.01371045412723e-06,1,0.000263260802703515,1.23478017778243,16.7890842081006,"aumento"
620839749,"population",9,17.3109957377116,0.554883092244466,3.01371045412702e-06,1,0.000263260802703515,2.90635765166509,16.7890842081005,"aumento"
620841059,"pop_density",9,245.101046290573,3.20803623188653,2.41200664291069e-10,1,0.000263260802703515,16.1765846139743,6.59996554841162,"aumento"
620841059,"population",9,4407.32052951389,57.6857755533853,2.41200664291159e-10,1,0.000263260802703515,290.881636555989,6.59996554841161,"aumento"
620841124,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620841124,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620841126,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620841126,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620841133,"pop_density",9,4.08627507431261,0.0842144984884667,5.85554840087617e-05,0.944444444444444,0.000580666545949214,0.378024301533823,9.25107327967669,"aumento"
620841133,"population",9,0.35224612057209,0.00725947956244151,5.85554840087642e-05,0.944444444444444,0.000580666545949214,0.0325865467389425,9.25107327967672,"aumento"
620842494,"pop_density",9,0.968156765223939,0.00941578983267425,1.94433554088368e-06,0.888888888888889,0.00122938491894486,0.0481034914639155,4.96856430609034,"aumento"
620842494,"population",9,5.04741470019023,0.0490885337193807,1.94433554088321e-06,0.888888888888889,0.00122938491894486,0.250784045174008,4.96856430609033,"aumento"
620842502,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620842502,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620843870,"pop_density",9,33.8271829942687,0.402365440859144,1.53847139795784e-07,1,0.000263260802703515,1.99630614775484,5.90148505151336,"aumento"
620843870,"population",9,912.055541992188,10.8486606852214,1.53847139795784e-07,1,0.000263260802703515,53.8248214721686,5.90148505151341,"aumento"
620845214,"pop_density",9,38.9644326085558,0.369819455327838,2.34831890771544e-09,1,0.000263260802703515,1.85513481840032,4.76109799169247,"aumento"
